age,male,female,total,year
0-4,110707.12640682133,106846.95289422573,217554.07930104708,2000
5-9,113649.35981617037,109739.64202845011,223389.00184462048,2000
10-12,63036.86407483038,61114.86677713796,124151.73085196834,2000
13-14,38406.954460121575,37689.811423738756,76096.76588386032,2000
15-19,102042.63162547848,98622.8150736197,200665.44669909816,2000
20-24,118370.49373250466,120951.2430201954,239321.73675270006,2000
25-29,140016.4056912785,141034.03309106565,281050.4387823441,2000
30-34,128362.06582962748,124558.22268784766,252920.28851747513,2000
35-39,114636.49119872964,112357.09566640844,226993.5868651381,2000
40-44,101839.00217387096,104481.27410900542,206320.27628287638,2000
45-49,85681.58417001108,92200.1640116851,177881.74818169617,2000
50-54,72029.9564080542,80784.15438036597,152814.1107884202,2000
55-59,53969.49629818611,63142.98451920614,117112.48081739225,2000
60-64,44755.024453878556,55056.5666525257,99811.59110640426,2000
65-69,36812.70326235196,47352.45016089949,84165.15342325145,2000
70-74,31675.484226152126,44485.76033496946,76161.2445611216,2000
75+,48538.81405489282,91068.50528569316,139607.31934058596,2000
