area,Below,At/Above
1,13687,39230
2,12495,58979
3,14256,40667
4,4392,33681
5,2416,30915
6,10450,86462
7,7498,53027
8,10575,63848
9,488,10572
10,2172,35051
11,1370,25273
12,1089,17744
13,2072,16153
14,10064,41334
15,9285,54295
16,6071,48101
17,3249,39072
18,1517,11520
19,16297,63128
20,4872,19638
21,6284,33661
22,15943,59047
23,17694,36473
24,14468,67809
25,27300,71097
26,7643,11536
27,8078,11360
28,13285,35046
29,14726,20043
30,18098,43269
31,10291,25174
32,2266,16179
33,2080,15621
34,4098,9497
35,4604,12108
36,1987,3833
37,1425,1635
38,6635,14765
39,4435,13488
40,4338,6100
41,5080,18901
42,6556,16183
43,15396,33007
44,8551,26361
45,1907,7940
46,10031,22322
47,1081,2351
48,2187,12743
49,10908,35707
50,1841,5868
51,4371,11843
52,5208,19941
53,8400,24096
54,3530,2358
55,1391,9232
56,3236,32159
57,1591,11244
58,10438,33498
59,2424,13179
60,5795,25771
61,14665,28650
62,2100,15744
63,7997,30566
64,1526,22444
65,6065,26504
66,13323,40556
67,15944,22605
68,14833,18060
69,10795,23552
70,4506,37374
71,14548,38198
72,900,20623
73,5295,22079
74,458,17731
75,3050,18644
76,1163,11046
77,9333,44486
